No,Profile_ID,Date_time,Aspect,X-Coordinate (m),Y-Coordinate (m),Elevation (m a.s.l.),Slope_angle (degrees),Profile_class,5-class_Stability,RB_score,RB_release_type,Fracture_plane_quality,S2008_1 [RB],S2008_2 [RT],S2008_3 [Lemons],3-class_Stability [sum S2008: 1+2+3],4-class_Stability [Techel],RB_height (cm),Snow_depth (cm),Slab_thickness (cm),FL_Thickness (cm),AL_Thickness (cm),FL_Grain_size_avg (mm),AL_Grain_size_avg (mm),FL_Grain_size_max (mm),AL_Grain_size_max (mm),FL_Grain_type1,FL_Grain_type2,FL_Hardness,FL_Top_Height (cm),FL_Bottom_Height (cm),AL_Top_Height (cm),AL_Bottom_Height (cm),AL_Hardness,Hard_Diff,Abs_Hard_Diff,Grain_Size_Diff (mm),FL_location,Lemon1_E,Lemon2_R,Lemon3_F,Lemon4_dE,Lemon5_dR,Lemon6_FLD,Lemons_FL,Whumpfs,Cracks,Avalanche_activity,LN_Local_danger_level_nowcast,LN_rounded,RF_Regional _danger_level_forecast,Deviation [LN-RF],SNPK_Index,SNPK_Index_Class,HN24 (cm),HN3d (cm)
1,6781,22-01-2002 10:00,NNE,790000,190070,2450,32,6,3,4,2,1,0,0,0,3,4,55,88,33,1,1,0.75,0.5,1.5,1,4,4,1,55,54,56,55,2,1,1,0.375,1,0,1,1,0,0,1,3,0,0,0,2,2,2,0,2.057,2,2,10
2,6802,22-01-2002 12:55,NW,789915,190345,2270,40,1,3,5,2,1,0,0,1,2,4,46,80,34,23,3.5,1,1,3,1.5,5,5,1,46,23,49.5,46,3,2,2,0.75,1,1,1,1,1,1,1,6,0,0,0,2,2,2,0,2.446,2,0,8
3,6826,23-01-2002 10:15,N,790820,189024,2422,33,8,4,6,3,1,0,0,1,2,4,45,90,45,2,3,2,0.75,4,1.5,5,7,1,47,45,45,42,2,-1,1,1.875,0,1,1,1,1,0,1,5,0,0,0,2,2,2,0,1.8,2,0,5
4,6831,23-01-2002 13:15,E,790565,189770,2360,35,7,4,6,3,1,0,0,0,3,4,64,160,96,4,0.5,1,1,2,1,4,4,1,68,64,64,63.5,2.5,-1.5,1.5,0.5,0,1,1,1,0,0,0,3,0,0,0,2,2,2,0,1.407,3,0,3.5
5,6814,23-01-2002 14:45,NW,790663,190800,2450,37,1,2,3,1,1,1,1,1,1,2,47,97,50,2,1,1,1,3,2,5,5,1,49,47,47,46,3.5,-2.5,2.5,0.5,0,1,1,1,0,1,1,5,0,0,1,2,2,2,0,2.153,2,0,5
6,6822,23-01-2002 15:45,NW,790570,190765,2400,36,4,4,6,3,1,0,0,1,2,4,108,173,65,2,10,1,0.5,2,1,4,4,1,110,108,108,98,1.5,-0.5,0.5,0.75,0,1,1,1,1,0,1,5,0,0,1,1.5,2,2,0,1.645,3,0,3.5
7,8377,29-01-2002 14:20,N,778400,184885,2500,35,1,2,1,1,1,1,1,0,1,1,58,74,16,2.5,0.4,0.75,0.75,1.5,1.25,4,5,1,60.5,58,58,57.6,1.5,-0.5,0.5,0.125,0,0,1,1,0,0,0,2,1,1,1,3,3,2,1,2.555,1,0,16
8,6833,12/2/2002 9:30,NNW,791297,188938,2495,36,2,3,5,3,1,0,0,1,2,4,40,50,10,3,4,2,1,3,1,5,4,1,40,37,44,40,3,2,2,1.5,1,1,1,1,1,1,0,5,1,1,0,3,3,3,0,2.543,1,2,24
9,6841,12/2/2002 10:15,N,791285,188934,2495,37,7,4,6,3,2,0,0,0,3,4,109,156,47,2,5,0.5,0.5,1,0.5,4,2,1,111,109,109,104,3.5,-2.5,2.5,0.25,0,0,1,1,0,1,1,4,1,1,0,3,3,3,0,1.097,4,2,24
10,6837,12/2/2002 11:20,NNW,791190,188945,2490,32,2,2,3,1,1,1,1,1,1,2,75,95,20,10,4.5,1,0.5,2,0.75,4,5,1,75,65,79.5,75,3.5,2.5,2.5,0.875,1,1,1,1,1,1,1,6,1,1,0,3,3,3,0,2.391,2,2,24
11,6845,12/2/2002 12:30,N,790950,189105,2355,41,3,2,2,1,1,1,1,0,1,1,72,95,23,10,12,0.5,0.25,0.75,0.5,3,2,1,72,62,84,72,1.5,0.5,0.5,0.25,1,0,1,0,0,0,1,2,1,1,0,3,3,3,0,1.616,3,2,24
12,6849,12/2/2002 13:10,NNE,791050,189090,2350,37,7,2,3,1,1,1,1,0,1,2,88,142,54,4,3,1,1,2.5,2,5,9,1,92,88,88,85,2,-1,1,0.25,0,1,1,1,0,0,1,4,1,1,0,3,3,3,0,1.885,2,2,24
13,6881,13-02-2002 09:40,E,790220,190140,2460,34,4,3,5,1,1,0,1,1,1,3,67,151,84,2,2,1.5,1,2.5,2,9,5,1,69,67,67,65,3.5,-2.5,2.5,0.5,0,1,1,1,0,1,1,5,1,1,0,3,3,3,0,1.888,2,0,11
14,6885,13-02-2002 11:00,SE,790420,190130,2380,39,7,3,5,1,1,0,1,1,1,3,140,178,38,5,4,1,1,2,1.5,9,5,1,140,135,144,140,3,2,2,0.25,1,1,1,1,0,1,1,5,1,1,0,3,3,3,0,1.987,2,1.5,11.5
15,6889,13-02-2002 12:45,W,790685,190815,2465,33,7,2,2,1,1,1,1,0,1,1,122,152,30,7,14,0.75,0.25,1,0.75,4,4,1,122,115,136,122,1.5,0.5,0.5,0.375,1,0,1,1,0,0,1,3,1,1,0,3,3,3,0,1.725,2,0,11
16,6893,13-02-2002 13:45,WNW,790475,190665,2380,36,4,3,5,2,1,0,0,1,2,4,66,121,55,17,2,1,1.5,2,3,4,9,1,83,66,66,64,1,0,0,0.75,0,1,1,1,1,0,1,5,1,1,1,3,3,3,0,2.254,2,1.5,11.5
17,8399,15-02-2002 14:50,N,778400,184895,2505,37,4,3,4,1,1,0,1,0,2,3,27,79,52,3,1,1.5,1,2.5,2,9,5,1,30,27,27,26,2.5,-1.5,1.5,0.5,0,1,1,1,0,0,1,4,0,0,0,2,2,3,-1,2.02,2,1,1
18,6681,18-02-2002 10:45,NNW,778425,184900,2500,28,3,3,4,1,1,0,1,1,1,3,67,115,48,3,1,3,1,5,2,5,9,1,70,67,67,66,2.5,-1.5,1.5,2.5,0,1,1,1,1,0,1,5,0,0,0,2,2,2,0,2.271,2,0.3,0.3
19,6937,26-02-2002 08:45,ENE,790380,183670,2090,38,1,3,4,2,2,0,0,0,3,4,41,96,55,23,3,2,2,4,3,5,9,1,41,18,44,41,1.5,0.5,0.5,0.5,1,1,1,1,0,0,1,4,0,0,0,2,2,3,-1,2.043,2,12,59
20,6939,26-02-2002 11:00,N,788995,183140,2480,37,1,3,4,1,1,0,1,0,2,3,38,95,57,3,1.5,1,1,2,1,5,9,1,41,38,38,36.5,2.5,-1.5,1.5,0.5,0,1,1,1,0,0,1,4,0,0,1,2.5,3,3,0,1.882,2,12,59
21,6941,26-02-2002 13:30,ESE,788370,183710,2590,33,1,2,2,1,1,1,1,0,1,1,121,172,51,0.5,19,0.75,0.25,1,0.5,4,7,1.5,121,120.5,140,121,2,0.5,0.5,0.5,1,0,1,1,0,0,1,3,0,0,1,2.5,3,3,0,1.889,2,6,49.5
22,6942,26-02-2002 15:00,ESE,788525,183650,2515,35,3,4,6,3,1,0,0,1,2,4,53,116,63,3,1,1,1,2,1.5,9,5,1,56,53,53,52,3,-2,2,0.25,0,1,1,1,0,1,1,5,0,0,1,2.5,3,3,0,1.852,2,6,49.5
23,6943,26-02-2002 16:15,N,790200,183250,2215,35,3,3,4,1,1,0,1,1,1,3,42,80,38,27,4,2,2,3,3,5,9,1,42,15,46,42,3,2,2,0,1,1,1,1,0,1,1,5,0,0,1,2.5,3,3,0,1.961,2,12,59
24,6944,27-02-2002 10:30,SE,782285,175360,2710,35,3,3,3,2,1,1,0,0,2,3,107,140,33,14,1,0.25,0.5,0.75,0.75,3,2,1,121,107,107,106,2.5,-1.5,1.5,0.125,0,0,1,0,0,0,1,2,0,0,0,3,3,3,0,1.63,3,0,2
25,6948,27-02-2002 12:00,E,782320,175265,2670,30,2,3,4,1,1,0,1,1,1,3,53,145,92,1,1,1.5,1,3,2,5,9,1,54,53,53,52,2.5,-1.5,1.5,0.75,0,1,1,1,1,0,1,5,0,0,0,3,3,3,0,1.638,3,0,2
26,6952,27-02-2002 15:15,N,781115,174460,2350,32,1,2,3,2,1,1,0,0,2,3,30,70,40,4,1,2,2,3,2,5,9,1,34,30,30,29,2,-1,1,0.5,0,1,1,1,0,0,1,4,1,0,0,3,3,3,0,2.079,2,0,2
27,6953,27-02-2002 16:15,W,781010,174855,2285,25,1,1,3,1,1,1,1,1,1,2,42,92,50,12.5,4,1.5,3,2.5,5,5,9,1,54.5,42,42,38,1,0,0,2,0,1,1,1,1,0,1,5,1,0,1,3,3,3,0,2.123,2,0,2
28,6682,1/3/2002 11:00,NNW,778460,184935,2495,29,1,2,2,1,1,1,1,0,1,1,90,103,13,0.2,1,2,0.5,5,0.75,1,1,1,90.2,90,90,89,1.5,-0.5,0.5,2.875,0,1,1,0,1,0,0,3,1,1,0,2.5,3,3,0,2.179,2,2,6.3
29,9221,5/3/2002 11:30,N,680175,156545,2465,35,4,4,6,2,1,0,0,1,2,4,68,142,74,0.2,9,2,0.25,4,0.5,6,9,1,68.2,68,68,59,2,-1,1,2.625,0,1,1,1,1,0,1,5,0,0,0,2,2,3,-1,1.801,2,0,9
30,9223,7/3/2002 10:20,N,694150,167400,2310,36,1,2,3,2,1,1,0,1,1,3,48,85,37,8,1,1,1,2,2,4,9,1,48,40,49,48,3.5,2.5,2.5,0,1,1,1,1,0,1,1,5,0,0,0,2.3,2,3,-1,2.263,2,1,1
31,9227,7/3/2002 14:00,ENE,693460,167505,2415,35,3,3,5,1,1,0,1,0,2,3,80,129,49,20,5,0.25,0.25,0.5,0.5,3,3,2,100,80,80,75,3,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,3,-1,1.158,4,1,1
32,9228,8/3/2002 10:00,W,691225,164450,2525,35,4,4,6,3,2,0,0,1,2,4,11,90,79,4,1,2,1,4,2,5,9,1,11,7,12,11,3,2,2,1.5,1,1,1,1,1,1,1,6,0,0,0,2,2,3,-1,1.622,3,0,4.5
33,9244,12/3/2002 13:30,N,683315,158075,2475,35,4,3,4,1,1,0,1,0,2,3,65,151.5,86.5,0.5,5,0.5,0.5,1,0.75,4,7,2.5,65,64.5,70,65,3,0.5,0.5,0.125,1,0,0,1,0,0,1,2,0,0,0,1.5,2,2,0,1.917,2,0,3
